gene	mean	lfc	p	padj	group1	group2	contrast	isDE
NonamEVm008161	28.058757317448766	-1.881374547458514	3.925524339766905e-4	0.0013200205271107165	long	short	long_short	TRUE
NonamEVm006137	435.61423832925936	0.8818159889245587	3.937258347133173e-4	0.0013234751563597105	long	short	long_short	TRUE
NonamEVm000360	199.33174005728236	-1.2183751071085231	3.942448519333528e-4	0.0013247697978718026	long	short	long_short	TRUE
NonamEVm010358	413.81933702622996	1.0639248115870084	3.946708923717953e-4	0.0013257512392774223	long	short	long_short	TRUE
NonamEVm007395	299.12149946867055	1.3023223332488605	3.9563450050980907e-4	0.00132853716221414	long	short	long_short	TRUE
NonamEVm004515	73.32310048497706	1.5123178253836238	3.9788291899498445e-4	0.0013351812025684524	long	short	long_short	TRUE
NonamEVm013473	554.7260969888631	1.2788875176315313	3.977924080146916e-4	0.0013351812025684524	long	short	long_short	TRUE
NonamEVm003283	99.6603887314595	-1.438608524542352	4.003684886810484e-4	0.0013430666318602219	long	short	long_short	TRUE
NonamEVm008457	50.03479226370527	1.9050241248301403	4.005724569786803e-4	0.001343295504663172	long	short	long_short	TRUE
NonamEVm007171	2738.558847474163	1.0884804022698493	4.0145950242795824e-4	0.001345814104345215	long	short	long_short	TRUE
NonamEVm012171	200.9861753905042	1.344643293092979	4.028269191268521e-4	0.0013499408031423395	long	short	long_short	TRUE
NonamEVm006346	16.218066335203947	-2.6900456958063015	4.049595005583903e-4	0.00135662803572303	long	short	long_short	TRUE
NonamEVm009747	356.5463585398901	1.2816504604071572	4.06826688171281e-4	0.0013624219648538062	long	short	long_short	TRUE
NonamEVm007629	13.616736999069845	-2.4237789139186074	4.081469186014675e-4	0.0013659749144988278	long	short	long_short	TRUE
NonamEVm001452	219.7013229549148	-0.9942129253266145	4.081636845364828e-4	0.0013659749144988278	long	short	long_short	TRUE
NonamEVm002373	403.0534058334846	1.1034007996346582	4.092301172415853e-4	0.0013690808790475756	long	short	long_short	TRUE
NonamEVm006837	236.37691894182709	1.1816293714084598	4.1155377964189027e-4	0.0013763893894343177	long	short	long_short	TRUE
NonamEVm000606	199.53138056534362	1.022407763257405	4.129824672204958e-4	0.0013807008431128466	long	short	long_short	TRUE
NonamEVm007598	260.6141651807231	1.3167464086337317	4.138159477830232e-4	0.0013830201348398507	long	short	long_short	TRUE
NonamEVm011144	102.60095856231798	1.4246602367666723	4.168714303661785e-4	0.001392761537779778	long	short	long_short	TRUE
NonamEVm009907	55.57087163287551	-1.4047825637648537	4.1772493971683274e-4	0.0013951420868841635	long	short	long_short	TRUE
NonamEVm008406	871.8123870316333	0.9647017457452135	4.204438333630823e-4	0.0014037490468829497	long	short	long_short	TRUE
NonamEVm006656	920.5113240004332	-1.1507206482588537	4.224354333758819e-4	0.001409495109314456	long	short	long_short	TRUE
NonamEVm004368	230.43913163223706	-1.0714805978893565	4.2244972657909017e-4	0.001409495109314456	long	short	long_short	TRUE
NonamEVm007500	610.1043981698967	1.1722820015260185	4.239053714509611e-4	0.0014138751452236979	long	short	long_short	TRUE
NonamEVm004792	326.2752657308277	0.866941325248171	4.259130171733144e-4	0.0014200927284188408	long	short	long_short	TRUE
NonamEVm008639	292.0477669274945	1.2746986461703458	4.2763667769100505e-4	0.0014248796506498942	long	short	long_short	TRUE
NonamEVm009979	278.88118027631276	0.9838128371256766	4.275750871367649e-4	0.0014248796506498942	long	short	long_short	TRUE
NonamEVm006948	429.30409552714906	-0.9906124797615005	4.2915668124092525e-4	0.0014292246219645484	long	short	long_short	TRUE
NonamEVm003472	1151.6336578432856	0.79604698814153	4.2922954491497956e-4	0.0014292246219645484	long	short	long_short	TRUE
NonamEVm002862	271.21073045186347	-1.0362523823059129	4.301590631188083e-4	0.0014318379040106717	long	short	long_short	TRUE
NonamEVm000106	1754.0174769686707	-0.8439340329002906	4.3110890689591284e-4	0.0014345170620853913	long	short	long_short	TRUE
NonamEVm001044	13.96380665992095	-2.850894528782742	4.317886200078237e-4	0.0014362125835872166	long	short	long_short	TRUE
NonamEVm013109	313.7403107796009	1.4301796091967505	4.319087155169318e-4	0.0014362125835872166	long	short	long_short	TRUE
NonamEVm012180	13.305065831120581	4.4512588773373905	4.3278684384029397e-4	0.001438649179255475	long	short	long_short	TRUE
NonamEVm006310	802.4921804357128	1.1129022559281239	4.3366773593250417e-4	0.0014410933226286303	long	short	long_short	TRUE
NonamEVm008086	320.65066979057144	-1.076901566971437	4.338196633742366e-4	0.0014411142627564436	long	short	long_short	TRUE
NonamEVm006629	80.77937435467216	1.285564707861744	4.3637905977616284e-4	0.001449129924679499	long	short	long_short	TRUE
NonamEVm004749	497.2606355520512	1.005128468849291	4.3719010995973046e-4	0.0014513362389001988	long	short	long_short	TRUE
NonamEVm001224	387.7720109928538	-0.8634934657389763	4.373851084802886e-4	0.0014514966577870343	long	short	long_short	TRUE
NonamEVm005018	642.5253511238849	1.1257088566256104	4.379660196220662e-4	0.0014529372209788692	long	short	long_short	TRUE
NonamEVm005746	244.74586884395407	1.3237351471750591	4.3974019830610877e-4	0.001458334116098275	long	short	long_short	TRUE
NonamEVm003181	30.982947640654807	-1.7736132671537799	4.40933831530591e-4	0.0014616636829710829	long	short	long_short	TRUE
NonamEVm005624	96.46801066340853	1.3999079763089894	4.4103958744458907e-4	0.0014616636829710829	long	short	long_short	TRUE
NonamEVm007772	397.5885186372942	1.1876785508862218	4.4193719015702944e-4	0.0014641481197837172	long	short	long_short	TRUE
NonamEVm004764	275.26201734797843	0.912096969337826	4.4242522911720555e-4	0.0014652744535956714	long	short	long_short	TRUE
NonamEVm001844	506.36440003819996	-0.8110532118690732	4.4324917261794056e-4	0.0014675121486206557	long	short	long_short	TRUE
NonamEVm007528	648.0882755201942	1.2151516924158214	4.455448215475975e-4	0.0014746192488411455	long	short	long_short	TRUE
NonamEVm001152	145.43354311347687	-1.6475524080469885	4.4827738652853885e-4	0.0014831671738837916	long	short	long_short	TRUE
NonamEVm009276	1234.5140115268214	1.1413423583790026	4.5047932687857455e-4	0.0014899543511999913	long	short	long_short	TRUE
NonamEVm004615	6.786134599352731	-3.6274772005057137	4.530113566091194e-4	0.0014978283945886555	long	short	long_short	TRUE
NonamEVm010172	1587.8943693435172	-1.0378160697062049	4.5319091152093216e-4	0.0014979215966637088	long	short	long_short	TRUE
NonamEVm003684	28.461700011916758	2.0768622794976537	4.5477741213740365e-4	0.0015026635293862258	long	short	long_short	TRUE
NonamEVm009856	135.01107081503724	-1.4486343564430886	4.597042010871112e-4	0.0015184355053264528	long	short	long_short	TRUE
NonamEVm001395	9.430104787533041	-3.032663319578422	4.598712250796894e-4	0.0015184803614910266	long	short	long_short	TRUE
NonamEVm008478	303.15491930090815	1.464166431625927	4.6189179547571695e-4	0.0015246434983414595	long	short	long_short	TRUE
NonamEVm009318	1937.199982092239	1.1673758674426542	4.639081257828969e-4	0.0015307885337604362	long	short	long_short	TRUE
NonamEVm004639	43.84563835669735	1.6029406514041842	4.691862257258203e-4	0.001547688963260906	long	short	long_short	TRUE
NonamEVm002211	13.175598945978843	-2.434236727982922	4.736750844785184e-4	0.0015619755534819787	long	short	long_short	TRUE
NonamEVm011690	322.99339873793457	1.3740814947108155	4.7427346291478115e-4	0.0015634277778163472	long	short	long_short	TRUE
NonamEVm010947	184.43738617357067	1.0828929285747735	4.7447318822261116e-4	0.0015635653248920946	long	short	long_short	TRUE
NonamEVm005315	210.90311396118616	1.1621501233364446	4.7585609021141205e-4	0.0015676004889254773	long	short	long_short	TRUE
NonamEVm003865	35.16809911673858	-1.7038720211812917	4.785851580304799e-4	0.001576066131071424	long	short	long_short	TRUE
NonamEVm001327	669.316931340093	1.021120770958981	4.7892716455433693e-4	0.0015766677380005716	long	short	long_short	TRUE
NonamEVm011880	98.41114744978479	-1.3118299978006382	4.7952640657998873e-4	0.0015781155036633083	long	short	long_short	TRUE
NonamEVm009098	4371.196391508048	-0.748366153394453	4.8006094398905634e-4	0.001579349435410805	long	short	long_short	TRUE
NonamEVm010771	361.740864256292	1.232462040962888	4.817764781165524e-4	0.0015844666093191766	long	short	long_short	TRUE
NonamEVm002570	18.769882809123043	-2.4172846919838644	4.857879220207489e-4	0.0015971286632283494	long	short	long_short	TRUE
NonamEVm006235	106.88231593167734	1.4169474394328796	4.8719954832948805e-4	0.0016012377051705792	long	short	long_short	TRUE
NonamEVm010808	104.15837881720056	1.53427698297374	4.87363360861371e-4	0.0016012442958446638	long	short	long_short	TRUE
NonamEVm005097	190.06053599798562	1.346120193427322	4.881436692180179e-4	0.0016027437792241225	long	short	long_short	TRUE
NonamEVm008201	730.1721493662454	-0.88022237207632	4.880329053994438e-4	0.0016027437792241225	long	short	long_short	TRUE
NonamEVm007731	28.046905702635705	-1.8731361641889412	4.920122623242299e-4	0.0016149098998210877	long	short	long_short	TRUE
NonamEVm009773	4633.761729566577	1.2459220341379582	4.927357415873742e-4	0.0016167483086036655	long	short	long_short	TRUE
NonamEVm000712	740.0440765164217	-1.3499414506244216	4.960517213415997e-4	0.0016270891065284952	long	short	long_short	TRUE
NonamEVm005201	24.68252112429816	2.538983566295026	4.976941889573543e-4	0.001631935617601716	long	short	long_short	TRUE
NonamEVm002817	189.22564776661343	1.0773476171049041	4.980540164754885e-4	0.0016323404093011905	long	short	long_short	TRUE
NonamEVm001642	453.238483875793	-0.8063440073288656	4.981475380042033e-4	0.0016323404093011905	long	short	long_short	TRUE
NonamEVm005245	404.6339585929417	0.9263413941906802	5.000348397334114e-4	0.0016379823813312939	long	short	long_short	TRUE
NonamEVm011522	1091.0061902885277	1.2773453926896614	5.029325620864007e-4	0.0016469293958990805	long	short	long_short	TRUE
NonamEVm000751	795.9518922288082	-1.5694042154852235	5.03134135979853e-4	0.001647044462340928	long	short	long_short	TRUE
NonamEVm007396	2327.6724305847215	0.8046326534893015	5.03301754826751e-4	0.0016470483352399232	long	short	long_short	TRUE
NonamEVm007646	7.012369124283203	-3.8942993523805485	5.045061475651062e-4	0.001650443912827865	long	short	long_short	TRUE
NonamEVm006052	546.1366503429505	1.0985254249564254	5.060370812004588e-4	0.001654905140634415	long	short	long_short	TRUE
NonamEVm010280	5.427790021960249	-4.93154366305649	5.097344491326004e-4	0.0016664460220073387	long	short	long_short	TRUE
NonamEVm011346	1321.844438577346	1.3322911706847538	5.107244227089805e-4	0.0016691310723672625	long	short	long_short	TRUE
NonamEVm005070	215.1611760618193	0.9530109065113317	5.114432739048983e-4	0.001670928570010853	long	short	long_short	TRUE
NonamEVm011597	5.043566636621314	-4.866350946632687	5.121894220506382e-4	0.0016728140332056486	long	short	long_short	TRUE
NonamEVm012653	1714.7366113270639	0.8174657354184985	5.128684228712134e-4	0.001674479021027228	long	short	long_short	TRUE
NonamEVm009055	71.8656884734574	-1.177810027883072	5.141856166919624e-4	0.0016782258782268007	long	short	long_short	TRUE
NonamEVm002536	188.89566028192746	1.0752923435330473	5.144177866640819e-4	0.001678430074786599	long	short	long_short	TRUE
NonamEVm010535	447.355945755712	1.2010577620299754	5.192407886081376e-4	0.0016930500309937824	long	short	long_short	TRUE
NonamEVm010916	428.5495346914019	1.105391896714903	5.191846276122782e-4	0.0016930500309937824	long	short	long_short	TRUE
NonamEVm005993	10.27180617881851	-2.894427777867079	5.198761131634296e-4	0.001694005273580935	long	short	long_short	TRUE
NonamEVm007867	504.66705438250693	1.1496336329558805	5.198284855220304e-4	0.001694005273580935	long	short	long_short	TRUE
NonamEVm009326	271.1123702918864	-4.11812450206871	5.202342768773125e-4	0.0016940567304961779	long	short	long_short	TRUE
NonamEVm004573	385.73204934376827	1.1715266707619922	5.20102863808066e-4	0.0016940567304961779	long	short	long_short	TRUE
NonamEVm003053	82.35125374168025	-1.2366379525959328	5.205576095254218e-4	0.0016945252746089436	long	short	long_short	TRUE
NonamEVm005877	734.1643861554664	1.0495073870827702	5.20720630566471e-4	0.0016945252746089436	long	short	long_short	TRUE
NonamEVm001169	78.07302744621056	-1.2196207488637323	5.23699209739529e-4	0.0017036579157075538	long	short	long_short	TRUE
NonamEVm003396	71.21331057129404	-1.5828063782735602	5.258741195169598e-4	0.001710170978225381	long	short	long_short	TRUE
NonamEVm007807	37.965646405800676	1.629792854561399	5.27346569038585e-4	0.0017138745733495065	long	short	long_short	TRUE
NonamEVm000860	103.94749778700249	-1.3974154488888244	5.273593447705383e-4	0.0017138745733495065	long	short	long_short	TRUE
NonamEVm001945	352.55689806853314	1.1051142343922138	5.282186405962847e-4	0.0017161036334014555	long	short	long_short	TRUE
NonamEVm006026	256.85438471016005	1.1640972448061913	5.285829689788116e-4	0.0017167236826433605	long	short	long_short	TRUE
NonamEVm000391	24.562661221676002	-1.900054661616351	5.309455379002762e-4	0.0017238310508730752	long	short	long_short	TRUE
NonamEVm008059	45.4382797522246	-1.9036850511893868	5.314052289868751e-4	0.0017247576733532687	long	short	long_short	TRUE
NonamEVm009014	71.42365715617157	1.82585665712178	5.324103610306128e-4	0.0017274534205767031	long	short	long_short	TRUE
NonamEVm005988	380.0062875622755	0.8759390545299293	5.350941367115253e-4	0.001735592126154459	long	short	long_short	TRUE
NonamEVm008220	682.5434877685639	1.2331199874314076	5.360696853769112e-4	0.0017381866338433529	long	short	long_short	TRUE
NonamEVm002915	9.778442443059138	-4.906995863895373	5.372662947977539e-4	0.0017414959886402138	long	short	long_short	TRUE
NonamEVm000695	145.78925176224925	1.386348631184566	5.386821505885237e-4	0.0017455136091106846	long	short	long_short	TRUE
NonamEVm005447	484.6376623682936	1.1208229083711398	5.399249788285078e-4	0.0017489681147256672	long	short	long_short	TRUE
NonamEVm008244	343.1444223127752	1.262104792025835	5.413899560930903e-4	0.001753139726929719	long	short	long_short	TRUE
NonamEVm001254	116.56611070518755	-1.272420345934298	5.420848075676467e-4	0.001754815589038087	long	short	long_short	TRUE
NonamEVm008502	6.199400796550474	-3.730821167399304	5.431922420145697e-4	0.001757825515688745	long	short	long_short	TRUE
NonamEVm009208	11.42882065277988	-2.658752972671156	5.433914076506847e-4	0.0017578951847372266	long	short	long_short	TRUE
NonamEVm008063	30.853181846417662	-1.6800765681208065	5.464588283447935e-4	0.001767240707614404	long	short	long_short	TRUE
NonamEVm004476	249.76313677621624	1.1775842590576673	5.472742325332139e-4	0.001769299511646091	long	short	long_short	TRUE
NonamEVm009949	7.093019999767991	-3.57929278231792	5.481364654956766e-4	0.001771508315658137	long	short	long_short	TRUE
NonamEVm009628	270.37882971264503	1.2058736960990497	5.490698464080368e-4	0.0017739455436023286	long	short	long_short	TRUE
NonamEVm003571	322.7742801993589	1.1879289036160163	5.49359359117751e-4	0.001774301637672736	long	short	long_short	TRUE
NonamEVm010608	178.3330064461931	1.450947910436176	5.504419933613519e-4	0.0017772182598055264	long	short	long_short	TRUE
NonamEVm002498	148.3526197296963	1.143055019469983	5.530230361501297e-4	0.0017849693299875028	long	short	long_short	TRUE
NonamEVm004747	939.3887967112747	0.75195382540043465	5.557342141026247e-4	0.0017931352405476278	long	short	long_short	TRUE
NonamEVm005231	259.44521193525424	1.1858945203761766	5.574622017822626e-4	0.00179812449440589	long	short	long_short	TRUE
NonamEVm005736	123.00048026747649	-1.216440579872175	5.581361488835808e-4	0.0017997117397692784	long	short	long_short	TRUE
NonamEVm005330	1834.563408667103	1.0869085074948182	5.593514145496095e-4	0.001802501983629887	long	short	long_short	TRUE
NonamEVm002530	145.2256865198689	-0.9660932843217187	5.593657631090726e-4	0.001802501983629887	long	short	long_short	TRUE
NonamEVm001030	285.80836509089403	-1.1877136687484697	5.614523997565569e-4	0.0018086370273407834	long	short	long_short	TRUE
NonamEVm001737	227.885922049624	-1.0036978437111395	5.625857444449675e-4	0.0018116981864716559	long	short	long_short	TRUE
NonamEVm001042	26.839982180820765	-1.8545838727428114	5.639794218793795e-4	0.001815595432309154	long	short	long_short	TRUE
NonamEVm008460	1144.1086352156672	1.1778214028474656	5.645470995266258e-4	0.0018168319014359312	long	short	long_short	TRUE
NonamEVm006316	43.56585013615125	2.06783161232408	5.649030892139187e-4	0.001817386531489252	long	short	long_short	TRUE
NonamEVm002134	551.2425934297279	0.8354694561119181	5.663531565089253e-4	0.0018214594854768687	long	short	long_short	TRUE
NonamEVm004825	263.5347229356965	1.0547231576066098	5.696603203105374e-4	0.0018315004970087972	long	short	long_short	TRUE
NonamEVm008407	275.5000559592121	-1.2434850213367705	5.700371099618971e-4	0.0018318281394613218	long	short	long_short	TRUE
NonamEVm003250	274.3593249468016	0.8767365597634335	5.701324443755933e-4	0.0018318281394613218	long	short	long_short	TRUE
NonamEVm004227	255.08323333474738	1.13875069002971	5.703227140869621e-4	0.0018318447187940855	long	short	long_short	TRUE
NonamEVm000172	555.3959195389754	-0.9058202144658125	5.72930977239793e-4	0.0018396252273734563	long	short	long_short	TRUE
NonamEVm009977	319.23695638318145	1.1208937168198077	5.732864868892798e-4	0.0018401696640468093	long	short	long_short	TRUE
NonamEVm007515	1738.100484873867	0.8298540707285489	5.743708684525919e-4	0.001843052566214932	long	short	long_short	TRUE
NonamEVm002848	726.8345125965204	0.8457114210991163	5.7615213499674e-4	0.0018481690528128817	long	short	long_short	TRUE
NonamEVm000160	227.6750617542364	-1.2554519078999484	5.77722017672969e-4	0.0018526043703472786	long	short	long_short	TRUE
NonamEVm011930	10.068379758103482	-2.7131004789870414	5.783149392567035e-4	0.0018539049688643789	long	short	long_short	TRUE
NonamEVm009522	255.42465606620368	0.8851756604733795	5.786299443853013e-4	0.00185431409638502	long	short	long_short	TRUE
NonamEVm008319	154.6884153646447	1.1380669292417345	5.789950300187552e-4	0.0018548833982083527	long	short	long_short	TRUE
NonamEVm001542	168.416881470596	-1.0536365899416553	5.792537647610177e-4	0.0018551117333576153	long	short	long_short	TRUE
NonamEVm004340	508.2048653501383	1.1377300341915884	5.798840789670151e-4	0.0018565295520729802	long	short	long_short	TRUE
NonamEVm007760	222.76422940929868	1.1347143101988721	5.802801867700237e-4	0.0018571968720168675	long	short	long_short	TRUE
NonamEVm010125	45851.565635513114	1.0823225729276766	5.806181490465152e-4	0.0018576777248510555	long	short	long_short	TRUE
NonamEVm012132	3.3000529581803515	-6.007693375509309	5.826232381668085e-4	0.0018634904863926106	long	short	long_short	TRUE
NonamEVm005211	8497.337414206087	-1.1342423616331292	5.829671339959448e-4	0.001863987967051331	long	short	long_short	TRUE
NonamEVm005004	210.73419599170364	-1.1240224850028402	5.83479308336864e-4	0.0018650230088183483	long	short	long_short	TRUE
NonamEVm007393	167.29205276411878	1.1760874157000816	5.855871605832807e-4	0.001871156132105956	long	short	long_short	TRUE
NonamEVm003778	60.75678603722915	1.5003149924965142	5.879000766976766e-4	0.00187794033537773	long	short	long_short	TRUE
NonamEVm002092	411.527488688611	0.9687143665218924	5.901962178750301e-4	0.0018846665931240068	long	short	long_short	TRUE
NonamEVm003556	277.582442694498	1.0223644834889427	5.913135963409691e-4	0.001886408558797624	long	short	long_short	TRUE
NonamEVm004710	204.94268072311675	0.9651824994989759	5.913033275848386e-4	0.001886408558797624	long	short	long_short	TRUE
NonamEVm003095	293.21951350005685	0.919241089161258	5.909967925990558e-4	0.001886408558797624	long	short	long_short	TRUE
NonamEVm005110	18.058165071746718	2.460098707212373	5.944848612006791e-4	0.0018959143365910153	long	short	long_short	TRUE
NonamEVm008352	234.77594456038798	1.2323565237166834	6.009211997156562e-4	0.0019154345503671717	long	short	long_short	TRUE
NonamEVm005384	278.10913687002005	1.0418809910653966	6.009927525151645e-4	0.0019154345503671717	long	short	long_short	TRUE
NonamEVm002411	188.3419507278045	-1.3913186710384042	6.019134763910106e-4	0.0019177513723005282	long	short	long_short	TRUE
NonamEVm007311	475.2531000161143	1.1477184811963397	6.022223727998413e-4	0.0019181179920267875	long	short	long_short	TRUE
NonamEVm000570	770.8326041977075	-1.0298428966820852	6.046689938136591e-4	0.0019252909790154348	long	short	long_short	TRUE
NonamEVm005891	10.796306372249639	-2.7639964603142357	6.053186462539038e-4	0.0019261200396555086	long	short	long_short	TRUE
NonamEVm003884	510.0924637876369	1.199734879428287	6.051345393731255e-4	0.0019261200396555086	long	short	long_short	TRUE
NonamEVm005728	7.175998390911259	-3.557584541482266	6.05614613393204e-4	0.0019264423703436668	long	short	long_short	TRUE
NonamEVm003130	204.86042532091807	-1.3780239312320801	6.069162818873164e-4	0.0019299625724797183	long	short	long_short	TRUE
NonamEVm008027	134.74047518050645	1.2183946044579408	6.091480780262283e-4	0.001935987203329782	long	short	long_short	TRUE
NonamEVm007036	834.005915191597	-0.8138565953079876	6.092021171350991e-4	0.001935987203329782	long	short	long_short	TRUE
NonamEVm000440	98.21403638794216	-1.063564065494697	6.111684293887049e-4	0.0019416124485491567	long	short	long_short	TRUE
NonamEVm009962	11.825025664236568	-3.0225640083303342	6.138577126365067e-4	0.0019492940858248393	long	short	long_short	TRUE
NonamEVm005552	426.6050400155393	0.8815605311766581	6.14138568820879e-4	0.0019492940858248393	long	short	long_short	TRUE
NonamEVm004308	296.37258333386933	-0.8736683118944751	6.141773402992976e-4	0.0019492940858248393	long	short	long_short	TRUE
NonamEVm005152	458.0124700486389	-0.823960166882119	6.162345674867358e-4	0.001955196306459999	long	short	long_short	TRUE
NonamEVm002983	15.59297870603431	2.7406729939740133	6.19906626157017e-4	0.0019662166578364873	long	short	long_short	TRUE
NonamEVm008276	48.88137985996763	1.6999322122318268	6.221509504974153e-4	0.001972702917693823	long	short	long_short	TRUE
NonamEVm008556	299.4969187689794	1.2605232367720054	6.226699211493579e-4	0.0019737160601198097	long	short	long_short	TRUE
NonamEVm004831	128.83836766130906	1.0047807056822586	6.229340168017734e-4	0.0019739209190747196	long	short	long_short	TRUE
NonamEVm009134	7638.396553945999	1.0770570960341879	6.255522535754329e-4	0.0019815829389828693	long	short	long_short	TRUE
NonamEVm005842	88.07550537712332	1.3125410889717783	6.274510149127105e-4	0.001986326053607224	long	short	long_short	TRUE
NonamEVm001831	198.10952721670947	-1.0721127568968731	6.272960492472576e-4	0.001986326053607224	long	short	long_short	TRUE
NonamEVm008025	110.94314087639258	1.3893929430886962	6.295182781820512e-4	0.001992233092705334	long	short	long_short	TRUE
NonamEVm002796	79.61880922512385	-1.3361874169859618	6.30216145965125e-4	0.001993804021889667	long	short	long_short	TRUE
NonamEVm004064	46.55889405894023	1.5552214297996694	6.312084862539203e-4	0.0019963052668484486	long	short	long_short	TRUE
NonamEVm000714	43.003581753560326	-2.137010311564437	6.317591268804579e-4	0.0019974084088207706	long	short	long_short	TRUE
NonamEVm008259	395.1133385490735	1.1383576394905173	6.324757456324328e-4	0.0019990354451544412	long	short	long_short	TRUE
NonamEVm007466	6.624504480022404	-3.8529557406311024	6.336291537841924e-4	0.0020019709108611144	long	short	long_short	TRUE
NonamEVm008572	414.6055903031864	0.8178590449473194	6.338091010234309e-4	0.0020019709108611144	long	short	long_short	TRUE
NonamEVm004542	23.6211268844038	2.0481317527446996	6.385919145628236e-4	0.002016434456449809	long	short	long_short	TRUE
NonamEVm001377	375.68767974995643	0.9174984723853489	6.389427539757473e-4	0.002016898721959807	long	short	long_short	TRUE
NonamEVm005784	488.94410142323335	1.0156822805302228	6.399579579059708e-4	0.0020194591681879743	long	short	long_short	TRUE
NonamEVm006287	882.5246368249299	0.9935690100015263	6.412947383269841e-4	0.002023032429226597	long	short	long_short	TRUE
NonamEVm004940	39.89449602363387	1.7088735217131763	6.416303955292033e-4	0.002023446269648501	long	short	long_short	TRUE
NonamEVm006841	919.4524569177512	1.2378542652708324	6.439196830984355e-4	0.0020300188543937937	long	short	long_short	TRUE
NonamEVm000109	1158.8079326410948	-0.7322460927652815	6.50507118432081e-4	0.002050133262421616	long	short	long_short	TRUE
NonamEVm008484	52.46584565751405	1.6063435548656688	6.510439908233315e-4	0.0020505192021603082	long	short	long_short	TRUE
NonamEVm002968	229.15755042045	0.9073905834845147	6.510341510724228e-4	0.0020505192021603082	long	short	long_short	TRUE
NonamEVm000343	217.4019249090603	-1.4946678175703831	6.542915601265236e-4	0.0020600920391384277	long	short	long_short	TRUE
NonamEVm000202	16.861887137463	-2.3699021608593385	6.5685759826472e-4	0.00206751361082305	long	short	long_short	TRUE
NonamEVm005820	69.87117120465635	1.4324408363605514	6.577687239176655e-4	0.0020697231452747908	long	short	long_short	TRUE
NonamEVm007512	681.7903086451324	0.7940047274976543	6.598510517004827e-4	0.0020756153870400435	long	short	long_short	TRUE
NonamEVm005301	260.57798698841856	0.8956641746122908	6.615386414534332e-4	0.002080262597973681	long	short	long_short	TRUE
NonamEVm007745	218.86746159697256	1.1275937859186738	6.633031404669046e-4	0.0020851486270840177	long	short	long_short	TRUE
NonamEVm002188	399.20069069791117	-0.8536077318612737	6.637908543111831e-4	0.0020860191471144705	long	short	long_short	TRUE
NonamEVm002839	302.22301292559956	0.8513816584317684	6.643255462917889e-4	0.002087036700350331	long	short	long_short	TRUE
NonamEVm009289	32.317010676766394	1.745708998636994	6.667106610176798e-4	0.0020938650274296916	long	short	long_short	TRUE
NonamEVm003161	357.7151664539403	-0.8469899073961477	6.713266679121745e-4	0.002107693117277563	long	short	long_short	TRUE
NonamEVm004162	5.68086746917205	-4.07822462622415	6.715444312287783e-4	0.0021077081165366287	long	short	long_short	TRUE
NonamEVm009495	438.7336320151306	1.2758608413704455	6.742503273911646e-4	0.002115529879474624	long	short	long_short	TRUE
NonamEVm010129	110.41794126357634	1.2807373281752823	6.756029671426718e-4	0.00211910204844497	long	short	long_short	TRUE
NonamEVm001717	122.54080213472507	-1.2033106675257785	6.759850009443338e-4	0.002119628507397062	long	short	long_short	TRUE
NonamEVm006491	49.780360180034705	-1.3546307116051821	6.768001096214732e-4	0.002121512158636078	long	short	long_short	TRUE
NonamEVm003171	28.113718713928847	-1.8891724992830683	6.779235342155106e-4	0.0021236882857222834	long	short	long_short	TRUE
NonamEVm013009	202.20672009676156	1.3087407006775096	6.777979421210986e-4	0.0021236882857222834	long	short	long_short	TRUE
NonamEVm008334	240.37895750666678	1.113128011630068	6.786360432358905e-4	0.002125247558184295	long	short	long_short	TRUE
NonamEVm001456	59.698651480371176	-1.4414073378301218	6.789047659059766e-4	0.0021254165021846075	long	short	long_short	TRUE
NonamEVm008514	759.9597548701448	1.130121119945461	6.793866673304877e-4	0.0021262525173632216	long	short	long_short	TRUE
NonamEVm007417	185.95280198060567	0.9592603869644889	6.891423987073699e-4	0.0021561028067050686	long	short	long_short	TRUE
NonamEVm001173	166.87156885237127	-0.9909923889246949	6.899242749710899e-4	0.0021578668220966833	long	short	long_short	TRUE
NonamEVm005542	32.687939918199	-1.7352729608160744	6.904288554395173e-4	0.002158632579418697	long	short	long_short	TRUE
NonamEVm008664	221.09492477574722	1.2684025791368718	6.906053704971296e-4	0.002158632579418697	long	short	long_short	TRUE
NonamEVm004161	19.569696724440927	-2.092905010277369	6.913435252066491e-4	0.002160257507245027	long	short	long_short	TRUE
NonamEVm008839	66.83838227442811	1.4622601174081893	6.920131765332277e-4	0.0021616674226555624	long	short	long_short	TRUE
NonamEVm003589	291.64498728695213	-0.8892542042037467	6.948222203648587e-4	0.0021697572397382904	long	short	long_short	TRUE
NonamEVm006775	109.93324147723843	1.3970966794328687	6.96398704753865e-4	0.0021739941899824125	long	short	long_short	TRUE
NonamEVm005398	2764.3780066029185	-0.7843622952421936	6.968427683921621e-4	0.0021746944295202887	long	short	long_short	TRUE
NonamEVm010694	453.303328057464	1.2435728719863997	6.973569197776677e-4	0.0021749272228552786	long	short	long_short	TRUE
NonamEVm003173	7330.246349998495	-0.7955031852429594	6.97192794684019e-4	0.0021749272228552786	long	short	long_short	TRUE
NonamEVm005836	264.6628217215647	1.251542699921551	7.007818662640774e-4	0.0021849203996689697	long	short	long_short	TRUE
