term	gene	description	ontology
GO:0003743	NonamEVm007002	translation initiation factor activity	MF
GO:0003743	NonamEVm003051	translation initiation factor activity	MF
GO:0003743	NonamEVm005661	translation initiation factor activity	MF
GO:0003743	NonamEVm008572	translation initiation factor activity	MF
GO:0003743	NonamEVm004107	translation initiation factor activity	MF
GO:0003743	NonamEVm004749	translation initiation factor activity	MF
GO:0003743	NonamEVm004348	translation initiation factor activity	MF
GO:0003743	NonamEVm007693	translation initiation factor activity	MF
GO:0003743	NonamEVm001962	translation initiation factor activity	MF
GO:0003743	NonamEVm005404	translation initiation factor activity	MF
GO:0003743	NonamEVm009262	translation initiation factor activity	MF
GO:0003743	NonamEVm005084	translation initiation factor activity	MF
GO:0003743	NonamEVm007425	translation initiation factor activity	MF
GO:0003743	NonamEVm012210	translation initiation factor activity	MF
GO:0003743	NonamEVm010686	translation initiation factor activity	MF
GO:0003743	NonamEVm010983	translation initiation factor activity	MF
GO:0003743	NonamEVm006753	translation initiation factor activity	MF
GO:0003743	NonamEVm008109	translation initiation factor activity	MF
GO:0003743	NonamEVm004741	translation initiation factor activity	MF
GO:0003743	NonamEVm001378	translation initiation factor activity	MF
GO:0003743	NonamEVm008861	translation initiation factor activity	MF
GO:0003743	NonamEVm006293	translation initiation factor activity	MF
GO:0003743	NonamEVm008378	translation initiation factor activity	MF
GO:0003743	NonamEVm004803	translation initiation factor activity	MF
GO:0003743	NonamEVm003400	translation initiation factor activity	MF
GO:0003743	NonamEVm002312	translation initiation factor activity	MF
GO:0003743	NonamEVm000216	translation initiation factor activity	MF
GO:0003743	NonamEVm007446	translation initiation factor activity	MF
GO:0003743	NonamEVm000680	translation initiation factor activity	MF
GO:0003743	NonamEVm001149	translation initiation factor activity	MF
GO:0003743	NonamEVm011880	translation initiation factor activity	MF
GO:0003743	NonamEVm000674	translation initiation factor activity	MF
GO:0003743	NonamEVm007508	translation initiation factor activity	MF
GO:0003743	NonamEVm011507	translation initiation factor activity	MF
GO:0003743	NonamEVm001808	translation initiation factor activity	MF
GO:0003743	NonamEVm002524	translation initiation factor activity	MF
GO:0003743	NonamEVm001175	translation initiation factor activity	MF
GO:0003743	NonamEVm002152	translation initiation factor activity	MF
GO:0003743	NonamEVm003412	translation initiation factor activity	MF
GO:0003743	NonamEVm002990	translation initiation factor activity	MF
GO:0003743	NonamEVm007717	translation initiation factor activity	MF
GO:0003743	NonamEVm000667	translation initiation factor activity	MF
GO:0003743	NonamEVm003109	translation initiation factor activity	MF
GO:0003743	NonamEVm004550	translation initiation factor activity	MF
GO:0003743	NonamEVm007269	translation initiation factor activity	MF
GO:0003746	NonamEVm002766	translation elongation factor activity	MF
GO:0003746	NonamEVm000735	translation elongation factor activity	MF
GO:0003746	NonamEVm000227	translation elongation factor activity	MF
GO:0003746	NonamEVm013402	translation elongation factor activity	MF
GO:0003746	NonamEVm001453	translation elongation factor activity	MF
GO:0003746	NonamEVm001708	translation elongation factor activity	MF
GO:0003746	NonamEVm001502	translation elongation factor activity	MF
GO:0003746	NonamEVm002464	translation elongation factor activity	MF
GO:0003746	NonamEVm000890	translation elongation factor activity	MF
GO:0003746	NonamEVm005060	translation elongation factor activity	MF
GO:0003746	NonamEVm007232	translation elongation factor activity	MF
GO:0003746	NonamEVm003018	translation elongation factor activity	MF
GO:0003746	NonamEVm002689	translation elongation factor activity	MF
GO:0003746	NonamEVm003358	translation elongation factor activity	MF
GO:0003746	NonamEVm004945	translation elongation factor activity	MF
GO:0003746	NonamEVm013571	translation elongation factor activity	MF
GO:0003746	NonamEVm001100	translation elongation factor activity	MF
GO:0003746	NonamEVm000916	translation elongation factor activity	MF
GO:0003746	NonamEVm008912	translation elongation factor activity	MF
GO:0003746	NonamEVm004928	translation elongation factor activity	MF
GO:0003746	NonamEVm010983	translation elongation factor activity	MF
GO:0003746	NonamEVm003933	translation elongation factor activity	MF
GO:0003746	NonamEVm004472	translation elongation factor activity	MF
GO:0003746	NonamEVm007495	translation elongation factor activity	MF
GO:0003746	NonamEVm002546	translation elongation factor activity	MF
GO:0003746	NonamEVm002000	translation elongation factor activity	MF
GO:0003746	NonamEVm009773	translation elongation factor activity	MF
GO:0003746	NonamEVm007926	translation elongation factor activity	MF
GO:0003746	NonamEVm003960	translation elongation factor activity	MF
GO:0003746	NonamEVm004289	translation elongation factor activity	MF
GO:0003746	NonamEVm002351	translation elongation factor activity	MF
GO:0003746	NonamEVm001920	translation elongation factor activity	MF
GO:0003746	NonamEVm013666	translation elongation factor activity	MF
GO:0003747	NonamEVm002766	translation release factor activity	MF
GO:0003747	NonamEVm009685	translation release factor activity	MF
GO:0003747	NonamEVm005416	translation release factor activity	MF
GO:0003747	NonamEVm008912	translation release factor activity	MF
GO:0003747	NonamEVm004791	translation release factor activity	MF
GO:0003747	NonamEVm002351	translation release factor activity	MF
GO:0003755	NonamEVm003492	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm003651	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm001869	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm008824	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm009267	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm004657	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm010950	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm002626	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm007411	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm009137	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm009525	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm005653	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm005928	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm006811	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm001624	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm001148	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm010465	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm011715	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm005464	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm004728	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm007766	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm010176	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm003889	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm012877	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm004551	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm010938	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	NonamEVm013108	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003756	NonamEVm008291	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm004076	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm007638	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm005041	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm005000	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm007843	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm004194	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm008587	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm005302	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm002472	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm001901	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm001841	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm000272	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm001935	protein disulfide isomerase activity	MF
GO:0003756	NonamEVm005583	protein disulfide isomerase activity	MF
GO:0003777	NonamEVm002857	microtubule motor activity	MF
GO:0003777	NonamEVm002922	microtubule motor activity	MF
GO:0003777	NonamEVm000388	microtubule motor activity	MF
GO:0003777	NonamEVm006169	microtubule motor activity	MF
GO:0003777	NonamEVm011838	microtubule motor activity	MF
GO:0003777	NonamEVm000129	microtubule motor activity	MF
GO:0003777	NonamEVm001903	microtubule motor activity	MF
GO:0003777	NonamEVm011803	microtubule motor activity	MF
GO:0003777	NonamEVm007846	microtubule motor activity	MF
GO:0003777	NonamEVm001303	microtubule motor activity	MF
GO:0003777	NonamEVm005219	microtubule motor activity	MF
GO:0003777	NonamEVm001734	microtubule motor activity	MF
GO:0003777	NonamEVm013347	microtubule motor activity	MF
GO:0003777	NonamEVm012683	microtubule motor activity	MF
GO:0003777	NonamEVm000589	microtubule motor activity	MF
GO:0003777	NonamEVm009397	microtubule motor activity	MF
GO:0003777	NonamEVm008366	microtubule motor activity	MF
GO:0003777	NonamEVm004548	microtubule motor activity	MF
GO:0003777	NonamEVm000458	microtubule motor activity	MF
GO:0003777	NonamEVm002176	microtubule motor activity	MF
GO:0003777	NonamEVm007786	microtubule motor activity	MF
GO:0003777	NonamEVm010227	microtubule motor activity	MF
GO:0003777	NonamEVm013314	microtubule motor activity	MF
GO:0003777	NonamEVm012802	microtubule motor activity	MF
GO:0003777	NonamEVm011848	microtubule motor activity	MF
GO:0003777	NonamEVm011245	microtubule motor activity	MF
GO:0003777	NonamEVm008331	microtubule motor activity	MF
GO:0003777	NonamEVm000277	microtubule motor activity	MF
GO:0003777	NonamEVm002010	microtubule motor activity	MF
GO:0003777	NonamEVm001679	microtubule motor activity	MF
GO:0003777	NonamEVm005641	microtubule motor activity	MF
GO:0003777	NonamEVm004726	microtubule motor activity	MF
GO:0003777	NonamEVm011955	microtubule motor activity	MF
GO:0003777	NonamEVm001509	microtubule motor activity	MF
GO:0003777	NonamEVm006848	microtubule motor activity	MF
GO:0003777	NonamEVm008549	microtubule motor activity	MF
GO:0003777	NonamEVm002088	microtubule motor activity	MF
GO:0003777	NonamEVm013582	microtubule motor activity	MF
GO:0003777	NonamEVm012210	microtubule motor activity	MF
GO:0003777	NonamEVm000054	microtubule motor activity	MF
GO:0003777	NonamEVm011605	microtubule motor activity	MF
GO:0003777	NonamEVm002185	microtubule motor activity	MF
GO:0003777	NonamEVm008645	microtubule motor activity	MF
GO:0003777	NonamEVm008774	microtubule motor activity	MF
GO:0003777	NonamEVm001144	microtubule motor activity	MF
GO:0003777	NonamEVm005394	microtubule motor activity	MF
GO:0003777	NonamEVm004937	microtubule motor activity	MF
GO:0003777	NonamEVm013131	microtubule motor activity	MF
GO:0003777	NonamEVm012662	microtubule motor activity	MF
GO:0003777	NonamEVm000881	microtubule motor activity	MF
GO:0003777	NonamEVm001351	microtubule motor activity	MF
GO:0003777	NonamEVm001529	microtubule motor activity	MF
GO:0003777	NonamEVm012066	microtubule motor activity	MF
GO:0003777	NonamEVm001837	microtubule motor activity	MF
GO:0003777	NonamEVm004325	microtubule motor activity	MF
GO:0003777	NonamEVm009840	microtubule motor activity	MF
GO:0003777	NonamEVm008074	microtubule motor activity	MF
GO:0003777	NonamEVm011769	microtubule motor activity	MF
GO:0003777	NonamEVm000237	microtubule motor activity	MF
GO:0003777	NonamEVm000395	microtubule motor activity	MF
GO:0003777	NonamEVm009889	microtubule motor activity	MF
GO:0003777	NonamEVm007039	microtubule motor activity	MF
GO:0003777	NonamEVm000012	microtubule motor activity	MF
GO:0003777	NonamEVm002015	microtubule motor activity	MF
GO:0003777	NonamEVm008092	microtubule motor activity	MF
GO:0003777	NonamEVm004233	microtubule motor activity	MF
GO:0003777	NonamEVm000960	microtubule motor activity	MF
GO:0003777	NonamEVm001435	microtubule motor activity	MF
GO:0003777	NonamEVm007218	microtubule motor activity	MF
GO:0003779	NonamEVm000260	actin binding	MF
GO:0003779	NonamEVm000728	actin binding	MF
GO:0003779	NonamEVm003854	actin binding	MF
GO:0003779	NonamEVm003637	actin binding	MF
GO:0003779	NonamEVm000498	actin binding	MF
GO:0003779	NonamEVm004563	actin binding	MF
GO:0003779	NonamEVm000023	actin binding	MF
GO:0003779	NonamEVm009621	actin binding	MF
GO:0003779	NonamEVm002923	actin binding	MF
GO:0003779	NonamEVm000987	actin binding	MF
GO:0003779	NonamEVm010415	actin binding	MF
GO:0003779	NonamEVm001342	actin binding	MF
GO:0003779	NonamEVm002601	actin binding	MF
GO:0003779	NonamEVm001726	actin binding	MF
GO:0003779	NonamEVm010683	actin binding	MF
GO:0003779	NonamEVm000004	actin binding	MF
GO:0003779	NonamEVm005449	actin binding	MF
GO:0003779	NonamEVm001094	actin binding	MF
GO:0003779	NonamEVm001241	actin binding	MF
GO:0003779	NonamEVm004884	actin binding	MF
GO:0003779	NonamEVm001014	actin binding	MF
GO:0003779	NonamEVm000134	actin binding	MF
GO:0003779	NonamEVm002824	actin binding	MF
GO:0003779	NonamEVm002747	actin binding	MF
GO:0003779	NonamEVm011746	actin binding	MF
GO:0003779	NonamEVm002429	actin binding	MF
GO:0003779	NonamEVm000827	actin binding	MF
GO:0003779	NonamEVm001453	actin binding	MF
GO:0003779	NonamEVm005713	actin binding	MF
GO:0003779	NonamEVm001934	actin binding	MF
GO:0003779	NonamEVm001258	actin binding	MF
GO:0003779	NonamEVm002833	actin binding	MF
GO:0003779	NonamEVm011313	actin binding	MF
GO:0003779	NonamEVm002811	actin binding	MF
GO:0003779	NonamEVm001892	actin binding	MF
GO:0003779	NonamEVm012399	actin binding	MF
GO:0003779	NonamEVm002087	actin binding	MF
GO:0003779	NonamEVm000097	actin binding	MF
GO:0003779	NonamEVm012790	actin binding	MF
GO:0003779	NonamEVm000031	actin binding	MF
GO:0003779	NonamEVm009176	actin binding	MF
GO:0003779	NonamEVm006100	actin binding	MF
GO:0003779	NonamEVm007781	actin binding	MF
GO:0003779	NonamEVm008472	actin binding	MF
GO:0003779	NonamEVm011506	actin binding	MF
GO:0003779	NonamEVm000444	actin binding	MF
GO:0003779	NonamEVm007206	actin binding	MF
GO:0003779	NonamEVm010078	actin binding	MF
GO:0003779	NonamEVm000073	actin binding	MF
GO:0003779	NonamEVm000737	actin binding	MF
GO:0003779	NonamEVm010333	actin binding	MF
GO:0003779	NonamEVm001162	actin binding	MF
GO:0003779	NonamEVm002707	actin binding	MF
GO:0003779	NonamEVm005456	actin binding	MF
GO:0003779	NonamEVm001037	actin binding	MF
GO:0003779	NonamEVm001856	actin binding	MF
GO:0003779	NonamEVm006794	actin binding	MF
GO:0003779	NonamEVm000133	actin binding	MF
GO:0003779	NonamEVm003799	actin binding	MF
GO:0003779	NonamEVm002935	actin binding	MF
GO:0003779	NonamEVm000928	actin binding	MF
GO:0003779	NonamEVm003243	actin binding	MF
GO:0003779	NonamEVm001667	actin binding	MF
GO:0003779	NonamEVm007582	actin binding	MF
GO:0003779	NonamEVm010650	actin binding	MF
GO:0003779	NonamEVm003393	actin binding	MF
GO:0003779	NonamEVm007161	actin binding	MF
GO:0003779	NonamEVm010019	actin binding	MF
GO:0003779	NonamEVm004500	actin binding	MF
GO:0003779	NonamEVm005433	actin binding	MF
GO:0003779	NonamEVm002664	actin binding	MF
GO:0003779	NonamEVm007871	actin binding	MF
GO:0003779	NonamEVm002567	actin binding	MF
GO:0003779	NonamEVm000247	actin binding	MF
GO:0003779	NonamEVm010974	actin binding	MF
GO:0003779	NonamEVm007644	actin binding	MF
GO:0003779	NonamEVm001349	actin binding	MF
GO:0003779	NonamEVm007119	actin binding	MF
GO:0003779	NonamEVm002282	actin binding	MF
GO:0003779	NonamEVm000294	actin binding	MF
GO:0003779	NonamEVm012111	actin binding	MF
GO:0003779	NonamEVm000616	actin binding	MF
GO:0003779	NonamEVm002668	actin binding	MF
GO:0003779	NonamEVm004878	actin binding	MF
GO:0003779	NonamEVm001351	actin binding	MF
GO:0003779	NonamEVm003565	actin binding	MF
GO:0003779	NonamEVm007640	actin binding	MF
GO:0003779	NonamEVm010172	actin binding	MF
GO:0003779	NonamEVm000852	actin binding	MF
GO:0003779	NonamEVm008791	actin binding	MF
GO:0003779	NonamEVm000102	actin binding	MF
GO:0003779	NonamEVm005117	actin binding	MF
GO:0003779	NonamEVm001860	actin binding	MF
GO:0003779	NonamEVm005489	actin binding	MF
GO:0003779	NonamEVm006011	actin binding	MF
GO:0003779	NonamEVm006427	actin binding	MF
GO:0003779	NonamEVm005897	actin binding	MF
GO:0003779	NonamEVm008054	actin binding	MF
GO:0003779	NonamEVm001890	actin binding	MF
GO:0003779	NonamEVm000066	actin binding	MF
GO:0003779	NonamEVm000245	actin binding	MF
GO:0003779	NonamEVm000111	actin binding	MF
GO:0003779	NonamEVm002986	actin binding	MF
GO:0003779	NonamEVm000752	actin binding	MF
GO:0003779	NonamEVm000176	actin binding	MF
GO:0003779	NonamEVm010549	actin binding	MF
GO:0003779	NonamEVm000596	actin binding	MF
GO:0003779	NonamEVm005841	actin binding	MF
GO:0003779	NonamEVm001002	actin binding	MF
GO:0003779	NonamEVm003493	actin binding	MF
GO:0003796	NonamEVm002451	lysozyme activity	MF
GO:0003796	NonamEVm008763	lysozyme activity	MF
GO:0003796	NonamEVm007581	lysozyme activity	MF
GO:0003796	NonamEVm009068	lysozyme activity	MF
GO:0003796	NonamEVm010728	lysozyme activity	MF
GO:0003796	NonamEVm009093	lysozyme activity	MF
GO:0003810	NonamEVm002725	protein-glutamine gamma-glutamyltransferase activity	MF
GO:0003810	NonamEVm001915	protein-glutamine gamma-glutamyltransferase activity	MF
GO:0003810	NonamEVm002234	protein-glutamine gamma-glutamyltransferase activity	MF
GO:0003823	NonamEVm010979	antigen binding	MF
GO:0003823	NonamEVm011067	antigen binding	MF
GO:0003823	NonamEVm000118	antigen binding	MF
GO:0003825	NonamEVm001850	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	MF
GO:0003825	NonamEVm001572	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	MF
GO:0003827	NonamEVm004737	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	MF
GO:0003827	NonamEVm002356	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	MF
GO:0003832	NonamEVm005665	beta-alanyl-dopamine hydrolase activity	MF
GO:0003833	NonamEVm001423	beta-alanyl amine synthase activity	MF
GO:0003833	NonamEVm001430	beta-alanyl amine synthase activity	MF
GO:0003834	NonamEVm002716	beta-carotene 15,15'-dioxygenase activity	MF
GO:0003834	NonamEVm003698	beta-carotene 15,15'-dioxygenase activity	MF
GO:0003835	NonamEVm004930	beta-galactoside alpha-2,6-sialyltransferase activity	MF
GO:0003837	NonamEVm005629	beta-ureidopropionase activity	MF
GO:0003839	NonamEVm010622	gamma-glutamylcyclotransferase activity	MF
GO:0003841	NonamEVm007473	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003841	NonamEVm007521	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003841	NonamEVm005445	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003841	NonamEVm004380	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003841	NonamEVm012831	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003841	NonamEVm007620	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003841	NonamEVm008111	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003841	NonamEVm007967	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003842	NonamEVm003004	L-glutamate gamma-semialdehyde dehydrogenase activity	MF
GO:0003844	NonamEVm002188	1,4-alpha-glucan branching enzyme activity	MF
GO:0003857	NonamEVm008282	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	MF
GO:0003857	NonamEVm007096	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	MF
GO:0003857	NonamEVm001862	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	MF
GO:0003857	NonamEVm007009	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	MF
GO:0003857	NonamEVm006631	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	MF
GO:0003857	NonamEVm007768	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	MF
GO:0003858	NonamEVm006659	3-hydroxybutyrate dehydrogenase activity	MF
GO:0003858	NonamEVm007071	3-hydroxybutyrate dehydrogenase activity	MF
GO:0003860	NonamEVm005818	3-hydroxyisobutyryl-CoA hydrolase activity	MF
GO:0003860	NonamEVm005839	3-hydroxyisobutyryl-CoA hydrolase activity	MF
GO:0003863	NonamEVm005968	branched-chain 2-oxo acid dehydrogenase activity	MF
GO:0003863	NonamEVm005088	branched-chain 2-oxo acid dehydrogenase activity	MF
GO:0003868	NonamEVm005754	4-hydroxyphenylpyruvate dioxygenase activity	MF
GO:0003870	NonamEVm003539	5-aminolevulinate synthase activity	MF
GO:0003872	NonamEVm004305	6-phosphofructokinase activity	MF
GO:0003872	NonamEVm001713	6-phosphofructokinase activity	MF
GO:0003873	NonamEVm002372	6-phosphofructo-2-kinase activity	MF
GO:0003873	NonamEVm004319	6-phosphofructo-2-kinase activity	MF
GO:0003873	NonamEVm004351	6-phosphofructo-2-kinase activity	MF
GO:0003874	NonamEVm011735	6-pyruvoyltetrahydropterin synthase activity	MF
GO:0003876	NonamEVm001853	AMP deaminase activity	MF
GO:0003876	NonamEVm012817	AMP deaminase activity	MF
GO:0003878	NonamEVm006721	ATP citrate synthase activity	MF
GO:0003878	NonamEVm000877	ATP citrate synthase activity	MF
GO:0003881	NonamEVm009240	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity	MF
GO:0003883	NonamEVm002778	CTP synthase activity	MF
GO:0003884	NonamEVm006590	D-amino-acid oxidase activity	MF
GO:0003884	NonamEVm009279	D-amino-acid oxidase activity	MF
GO:0003886	NonamEVm000368	DNA (cytosine-5-)-methyltransferase activity	MF
GO:0003886	NonamEVm006442	DNA (cytosine-5-)-methyltransferase activity	MF
GO:0003887	NonamEVm003514	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm000790	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm001372	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm010749	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm011055	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm001986	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm011543	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm004016	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm009405	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm010646	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm001544	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm006657	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm005972	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm006747	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm010964	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm011393	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm000284	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm002712	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm012604	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm000120	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm003655	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm004562	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm000397	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm009357	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm005280	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm005368	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm000585	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm007296	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm006172	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm012463	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm006703	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm002210	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm002319	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm003685	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm004536	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm003275	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm002498	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm003094	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm013499	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm002729	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm004672	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm006555	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm012421	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm006137	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm010692	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm001840	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm008117	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm010853	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm009198	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm008020	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm000861	DNA-directed DNA polymerase activity	MF
GO:0003887	NonamEVm003114	DNA-directed DNA polymerase activity	MF
GO:0003899	NonamEVm005414	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm006254	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm006038	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm007245	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm013465	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm005701	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm004016	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm009475	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm012579	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm003293	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm000092	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm010074	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm013553	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm012654	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm011713	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm002712	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm003707	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm004687	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm000208	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm000794	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm005280	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm012947	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm009589	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm007161	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm011816	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm012048	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm006651	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm012307	DNA-directed RNA polymerase activity	MF
GO:0003899	NonamEVm010524	DNA-directed RNA polymerase activity	MF
