term	gene	description	ontology
GO:0000030	NonamEVm003722	mannosyltransferase activity	MF
GO:0000030	NonamEVm005286	mannosyltransferase activity	MF
GO:0000030	NonamEVm004258	mannosyltransferase activity	MF
GO:0000030	NonamEVm009689	mannosyltransferase activity	MF
GO:0000030	NonamEVm009249	mannosyltransferase activity	MF
GO:0000030	NonamEVm002861	mannosyltransferase activity	MF
GO:0000030	NonamEVm008615	mannosyltransferase activity	MF
GO:0000030	NonamEVm003750	mannosyltransferase activity	MF
GO:0000030	NonamEVm005034	mannosyltransferase activity	MF
GO:0000033	NonamEVm003722	alpha-1,3-mannosyltransferase activity	MF
GO:0000041	NonamEVm000564	transition metal ion transport	BP
GO:0000041	NonamEVm011802	transition metal ion transport	BP
GO:0000041	NonamEVm002369	transition metal ion transport	BP
GO:0000041	NonamEVm001590	transition metal ion transport	BP
GO:0000041	NonamEVm007981	transition metal ion transport	BP
GO:0000041	NonamEVm002256	transition metal ion transport	BP
GO:0000041	NonamEVm005299	transition metal ion transport	BP
GO:0000041	NonamEVm011471	transition metal ion transport	BP
GO:0000041	NonamEVm002391	transition metal ion transport	BP
GO:0000041	NonamEVm002285	transition metal ion transport	BP
GO:0000041	NonamEVm002460	transition metal ion transport	BP
GO:0000041	NonamEVm009467	transition metal ion transport	BP
GO:0000041	NonamEVm009961	transition metal ion transport	BP
GO:0000041	NonamEVm006231	transition metal ion transport	BP
GO:0000041	NonamEVm002239	transition metal ion transport	BP
GO:0000041	NonamEVm001147	transition metal ion transport	BP
GO:0000041	NonamEVm004649	transition metal ion transport	BP
GO:0000041	NonamEVm002831	transition metal ion transport	BP
GO:0000041	NonamEVm003918	transition metal ion transport	BP
GO:0000041	NonamEVm002259	transition metal ion transport	BP
GO:0000041	NonamEVm007804	transition metal ion transport	BP
GO:0000041	NonamEVm006588	transition metal ion transport	BP
GO:0000041	NonamEVm002528	transition metal ion transport	BP
GO:0000041	NonamEVm011044	transition metal ion transport	BP
GO:0000041	NonamEVm003801	transition metal ion transport	BP
GO:0000041	NonamEVm002576	transition metal ion transport	BP
GO:0000041	NonamEVm009594	transition metal ion transport	BP
GO:0000041	NonamEVm008318	transition metal ion transport	BP
GO:0000041	NonamEVm007588	transition metal ion transport	BP
GO:0000041	NonamEVm006957	transition metal ion transport	BP
GO:0000041	NonamEVm008236	transition metal ion transport	BP
GO:0000041	NonamEVm004942	transition metal ion transport	BP
GO:0000041	NonamEVm004528	transition metal ion transport	BP
GO:0000041	NonamEVm002072	transition metal ion transport	BP
GO:0000041	NonamEVm002279	transition metal ion transport	BP
GO:0000041	NonamEVm000552	transition metal ion transport	BP
GO:0000041	NonamEVm002843	transition metal ion transport	BP
GO:0000041	NonamEVm009442	transition metal ion transport	BP
GO:0000041	NonamEVm001696	transition metal ion transport	BP
GO:0000041	NonamEVm002262	transition metal ion transport	BP
GO:0000041	NonamEVm002235	transition metal ion transport	BP
GO:0000041	NonamEVm000523	transition metal ion transport	BP
GO:0000041	NonamEVm002345	transition metal ion transport	BP
GO:0000041	NonamEVm006274	transition metal ion transport	BP
GO:0000041	NonamEVm002184	transition metal ion transport	BP
GO:0000041	NonamEVm002216	transition metal ion transport	BP
GO:0000041	NonamEVm003022	transition metal ion transport	BP
GO:0000041	NonamEVm008716	transition metal ion transport	BP
